Created as New Dataset;
cm-1;%T
3823,50;97,73
3823,00;97,77
3822,50;97,75
3822,00;97,60
3821,50;97,57
3821,00;97,70
3820,50;97,70
3820,00;97,60
3819,50;97,55
3819,00;97,64
3818,50;97,78
3818,00;97,85
3817,50;97,86
3817,00;97,88
3816,50;97,96
3816,00;97,93
3815,50;97,81
3815,00;97,73
3814,50;97,64
3814,00;97,56
3813,50;97,59
3813,00;97,68
3812,50;97,69
3812,00;97,65
3811,50;97,66
3811,00;97,68
3810,50;97,65
3810,00;97,64
3809,50;97,70
3809,00;97,76
3808,50;97,72
3808,00;97,64
3807,50;97,68
3807,00;97,72
3806,50;97,67
3806,00;97,68
3805,50;97,71
3805,00;97,69
3804,50;97,70
3804,00;97,82
3803,50;97,92
3803,00;97,84
3802,50;97,69
3802,00;97,73
3801,50;97,87
3801,00;97,83
3800,50;97,78
3800,00;97,78
3799,50;97,75
3799,00;97,72
3798,50;97,75
3798,00;97,78
3797,50;97,74
3797,00;97,74
3796,50;97,82
3796,00;97,84
3795,50;97,78
3795,00;97,73
3794,50;97,71
3794,00;97,72
3793,50;97,72
3793,00;97,72
3792,50;97,71
3792,00;97,69
3791,50;97,70
3791,00;97,75
3790,50;97,79
3790,00;97,78
3789,50;97,78
3789,00;97,78
3788,50;97,75
3788,00;97,74
3787,50;97,79
3787,00;97,85
3786,50;97,85
3786,00;97,82
3785,50;97,82
3785,00;97,83
3784,50;97,81
3784,00;97,79
3783,50;97,77
3783,00;97,75
3782,50;97,77
3782,00;97,85
3781,50;97,91
3781,00;97,87
3780,50;97,79
3780,00;97,81
3779,50;97,83
3779,00;97,76
3778,50;97,71
3778,00;97,72
3777,50;97,73
3777,00;97,75
3776,50;97,80
3776,00;97,83
3775,50;97,79
3775,00;97,76
3774,50;97,79
3774,00;97,80
3773,50;97,76
3773,00;97,76
3772,50;97,86
3772,00;97,93
3771,50;97,85
3771,00;97,73
3770,50;97,74
3770,00;97,76
3769,50;97,69
3769,00;97,68
3768,50;97,73
3768,00;97,74
3767,50;97,71
3767,00;97,73
3766,50;97,76
3766,00;97,75
3765,50;97,73
3765,00;97,78
3764,50;97,82
3764,00;97,77
3763,50;97,76
3763,00;97,84
3762,50;97,90
3762,00;97,85
3761,50;97,78
3761,00;97,75
3760,50;97,71
3760,00;97,69
3759,50;97,74
3759,00;97,80
3758,50;97,76
3758,00;97,63
3757,50;97,59
3757,00;97,72
3756,50;97,85
3756,00;97,86
3755,50;97,83
3755,00;97,86
3754,50;97,96
3754,00;98,06
3753,50;98,02
3753,00;97,89
3752,50;97,87
3752,00;97,85
3751,50;97,71
3751,00;97,50
3750,50;97,22
3750,00;97,26
3749,50;97,59
3749,00;97,76
3748,50;97,77
3748,00;97,77
3747,50;97,81
3747,00;97,96
3746,50;98,18
3746,00;98,29
3745,50;98,06
3745,00;98,02
3744,50;98,09
3744,00;97,87
3743,50;97,75
3743,00;97,66
3742,50;97,55
3742,00;97,58
3741,50;97,71
3741,00;97,75
3740,50;97,68
3740,00;97,65
3739,50;97,69
3739,00;97,73
3738,50;97,70
3738,00;97,67
3737,50;97,68
3737,00;97,70
3736,50;97,67
3736,00;97,64
3735,50;97,78
3735,00;97,95
3734,50;97,91
3734,00;97,78
3733,50;97,63
3733,00;97,50
3732,50;97,52
3732,00;97,61
3731,50;97,63
3731,00;97,62
3730,50;97,61
3730,00;97,65
3729,50;97,75
3729,00;97,84
3728,50;97,84
3728,00;97,77
3727,50;97,75
3727,00;97,79
3726,50;97,78
3726,00;97,71
3725,50;97,72
3725,00;97,78
3724,50;97,81
3724,00;97,76
3723,50;97,67
3723,00;97,65
3722,50;97,72
3722,00;97,81
3721,50;97,87
3721,00;97,88
3720,50;97,83
3720,00;97,82
3719,50;97,91
3719,00;97,98
3718,50;97,93
3718,00;97,86
3717,50;97,83
3717,00;97,80
3716,50;97,76
3716,00;97,79
3715,50;97,89
3715,00;97,98
3714,50;98,03
3714,00;98,06
3713,50;97,98
3713,00;97,78
3712,50;97,73
3712,00;97,87
3711,50;97,95
3711,00;97,91
3710,50;97,78
3710,00;97,77
3709,50;97,85
3709,00;97,88
3708,50;97,85
3708,00;97,82
3707,50;97,80
3707,00;97,79
3706,50;97,83
3706,00;97,86
3705,50;97,85
3705,00;97,90
3704,50;98,01
3704,00;98,06
3703,50;97,97
3703,00;97,87
3702,50;97,92
3702,00;98,04
3701,50;98,03
3701,00;97,98
3700,50;97,95
3700,00;97,89
3699,50;97,83
3699,00;97,85
3698,50;97,91
3698,00;97,92
3697,50;97,86
3697,00;97,83
3696,50;97,84
3696,00;97,85
3695,50;97,85
3695,00;97,86
3694,50;97,88
3694,00;97,90
3693,50;97,97
3693,00;98,05
3692,50;98,06
3692,00;98,05
3691,50;98,17
3691,00;98,27
3690,50;98,21
3690,00;98,04
3689,50;97,87
3689,00;97,90
3688,50;98,03
3688,00;98,00
3687,50;97,94
3687,00;97,91
3686,50;97,87
3686,00;97,87
3685,50;97,92
3685,00;97,94
3684,50;97,88
3684,00;97,80
3683,50;97,77
3683,00;97,79
3682,50;97,83
3682,00;97,91
3681,50;97,98
3681,00;98,01
3680,50;98,00
3680,00;98,01
3679,50;98,04
3679,00;98,04
3678,50;98,02
3678,00;98,03
3677,50;98,05
3677,00;98,03
3676,50;97,89
3676,00;97,84
3675,50;98,04
3675,00;98,16
3674,50;98,16
3674,00;98,11
3673,50;98,05
3673,00;98,03
3672,50;98,08
3672,00;98,11
3671,50;98,13
3671,00;98,19
3670,50;98,17
3670,00;98,06
3669,50;97,99
3669,00;97,97
3668,50;97,97
3668,00;97,99
3667,50;97,98
3667,00;97,92
3666,50;97,88
3666,00;97,91
3665,50;98,00
3665,00;98,05
3664,50;98,02
3664,00;97,98
3663,50;97,98
3663,00;98,01
3662,50;97,99
3662,00;97,96
3661,50;97,97
3661,00;97,99
3660,50;97,96
3660,00;97,92
3659,50;97,95
3659,00;98,05
3658,50;98,12
3658,00;98,09
3657,50;97,98
3657,00;97,94
3656,50;98,03
3656,00;98,07
3655,50;98,04
3655,00;97,99
3654,50;97,98
3654,00;98,03
3653,50;98,07
3653,00;98,07
3652,50;98,04
3652,00;98,03
3651,50;98,04
3651,00;98,01
3650,50;97,96
3650,00;97,98
3649,50;97,97
3649,00;97,90
3648,50;97,84
3648,00;97,85
3647,50;97,94
3647,00;97,99
3646,50;98,01
3646,00;98,01
3645,50;97,97
3645,00;97,94
3644,50;97,99
3644,00;98,07
3643,50;98,07
3643,00;98,00
3642,50;97,96
3642,00;98,00
3641,50;98,05
3641,00;98,06
3640,50;98,06
3640,00;98,06
3639,50;98,06
3639,00;98,04
3638,50;98,03
3638,00;98,02
3637,50;98,05
3637,00;98,09
3636,50;98,10
3636,00;98,11
3635,50;98,14
3635,00;98,16
3634,50;98,13
3634,00;98,05
3633,50;98,03
3633,00;98,09
3632,50;98,12
3632,00;98,05
3631,50;97,99
3631,00;98,04
3630,50;98,05
3630,00;97,81
3629,50;97,61
3629,00;97,81
3628,50;98,03
3628,00;98,02
3627,50;97,92
3627,00;97,89
3626,50;97,97
3626,00;98,03
3625,50;97,98
3625,00;97,94
3624,50;97,97
3624,00;98,02
3623,50;98,03
3623,00;98,05
3622,50;98,11
3622,00;98,16
3621,50;98,14
3621,00;98,08
3620,50;98,08
3620,00;98,16
3619,50;98,20
3619,00;98,13
3618,50;98,07
3618,00;98,11
3617,50;98,17
3617,00;98,16
3616,50;98,09
3616,00;98,01
3615,50;98,00
3615,00;98,05
3614,50;98,09
3614,00;98,03
3613,50;97,91
3613,00;97,88
3612,50;97,97
3612,00;98,06
3611,50;98,09
3611,00;98,01
3610,50;97,87
3610,00;97,83
3609,50;97,92
3609,00;97,97
3608,50;97,96
3608,00;97,96
3607,50;97,98
3607,00;98,01
3606,50;98,03
3606,00;98,04
3605,50;98,03
3605,00;98,03
3604,50;98,07
3604,00;98,13
3603,50;98,15
3603,00;98,13
3602,50;98,13
3602,00;98,13
3601,50;98,10
3601,00;98,06
3600,50;98,08
3600,00;98,14
3599,50;98,15
3599,00;98,12
3598,50;98,12
3598,00;98,18
3597,50;98,20
3597,00;98,14
3596,50;98,05
3596,00;98,05
3595,50;98,11
3595,00;98,10
3594,50;98,01
3594,00;97,94
3593,50;97,96
3593,00;98,02
3592,50;98,01
3592,00;97,95
3591,50;97,94
3591,00;97,96
3590,50;97,95
3590,00;97,86
3589,50;97,81
3589,00;97,86
3588,50;97,92
3588,00;97,89
3587,50;97,85
3587,00;97,91
3586,50;98,01
3586,00;98,08
3585,50;98,08
3585,00;98,02
3584,50;97,96
3584,00;98,00
3583,50;98,09
3583,00;98,13
3582,50;98,13
3582,00;98,16
3581,50;98,19
3581,00;98,15
3580,50;98,11
3580,00;98,13
3579,50;98,19
3579,00;98,17
3578,50;98,07
3578,00;98,00
3577,50;98,01
3577,00;98,03
3576,50;98,01
3576,00;98,00
3575,50;98,02
3575,00;98,05
3574,50;98,04
3574,00;98,01
3573,50;98,00
3573,00;98,03
3572,50;98,04
3572,00;98,03
3571,50;98,03
3571,00;98,08
3570,50;98,15
3570,00;98,15
3569,50;98,10
3569,00;98,07
3568,50;98,06
3568,00;98,01
3567,50;97,92
3567,00;97,90
3566,50;97,98
3566,00;98,07
3565,50;98,13
3565,00;98,13
3564,50;98,07
3564,00;98,02
3563,50;98,04
3563,00;98,12
3562,50;98,16
3562,00;98,13
3561,50;98,10
3561,00;98,09
3560,50;98,07
3560,00;98,04
3559,50;98,03
3559,00;98,05
3558,50;98,08
3558,00;98,09
3557,50;98,11
3557,00;98,16
3556,50;98,20
3556,00;98,20
3555,50;98,16
3555,00;98,13
3554,50;98,13
3554,00;98,14
3553,50;98,10
3553,00;98,05
3552,50;98,06
3552,00;98,13
3551,50;98,16
3551,00;98,13
3550,50;98,09
3550,00;98,09
3549,50;98,10
3549,00;98,12
3548,50;98,12
3548,00;98,10
3547,50;98,06
3547,00;98,02
3546,50;98,00
3546,00;98,00
