#Wave		#Intensity
4001.644531	398622.281250
4000.500000	398408.250000
3999.354492	398263.125000
3998.209961	398113.687500
3997.064453	398363.687500
3995.918945	398094.218750
3994.772461	398093.187500
3993.626953	397786.750000
3992.480469	398154.343750
3991.333984	397732.375000
3990.187500	397480.625000
3989.040039	397455.656250
3987.893555	397500.406250
3986.746094	372780.406250
3985.598633	355448.500000
3984.451172	355646.812500
3983.302734	354875.906250
3982.154297	355037.218750
3981.006836	342645.687500
3979.857422	317897.562500
3978.708984	317338.656250
3977.560547	316812.593750
3976.411133	316591.250000
3975.261719	316741.937500
3974.112305	317003.437500
3972.961914	316716.906250
3971.811523	317021.781250
3970.662109	315718.156250
3969.511719	315342.906250
3968.360352	315782.531250
3967.209961	315707.125000
3966.058594	315227.781250
3964.907227	314379.468750
3963.755859	315209.656250
3962.604492	314422.406250
3961.452148	314588.156250
3960.299805	314313.375000
3959.147461	314952.000000
3957.995117	314004.781250
3956.841797	311670.000000
3955.689453	292065.906250
3954.536133	288868.812500
3953.382813	288119.968750
3952.228516	288981.468750
3951.075195	288009.687500
3949.920898	288511.281250
3948.766602	288475.562500
3947.612305	288589.250000
3946.458008	288583.812500
3945.302734	286799.000000
3944.147461	287267.843750
3942.992188	286723.781250
3941.836914	287491.000000
3940.680664	286696.187500
3939.525391	286433.656250
3938.369141	286123.656250
3937.211914	286029.937500
3936.055664	285674.687500
3934.898438	286404.437500
3933.742188	285727.281250
3932.584961	285262.093750
3931.426758	284743.031250
3930.269531	285042.625000
3929.111328	285249.250000
3927.953125	284417.437500
3926.794922	284649.968750
3925.636719	284381.781250
3924.477539	284366.093750
3923.319336	284072.156250
3922.160156	284345.500000
3921.000000	284178.843750
3919.840820	282824.343750
3918.680664	282405.812500
3917.520508	283435.656250
3916.360352	282398.750000
3915.200195	282155.000000
3914.040039	282454.093750
3912.878906	281585.875000
3911.717773	282627.781250
3910.556641	282254.937500
3909.394531	280595.125000
3908.233398	282232.718750
3907.071289	280709.031250
3905.909180	280364.750000
3904.746094	279691.500000
3903.583984	280422.687500
3902.420898	278928.343750
3901.257813	279861.437500
3900.094727	279279.000000
3898.931641	279588.500000
3897.767578	278462.750000
3896.603516	277867.968750
3895.439453	278433.093750
3894.275391	278710.250000
3893.111328	278137.187500
3891.946289	277740.312500
3890.781250	278225.593750
3889.616211	277586.375000
3888.451172	277981.375000
3887.285156	277078.593750
3886.119141	277713.687500
3884.953125	277002.093750
3883.787109	276462.218750
3882.620117	276456.218750
3881.454102	276640.906250
3880.287109	275775.718750
3879.120117	275532.062500
3877.952148	275890.250000
3876.785156	275066.312500
3875.617188	275186.812500
3874.449219	274545.250000
3873.281250	275590.281250
3872.112305	274752.000000
3870.944336	273563.156250
3869.775391	273771.468750
3868.606445	274116.531250
3867.436523	273238.468750
3866.267578	272632.187500
3865.097656	273520.125000
3863.927734	272766.531250
3862.757813	272976.812500
3861.587891	272855.906250
3860.416992	272705.093750
3859.246094	272784.968750
3858.075195	272320.406250
3856.904297	270955.187500
3855.732422	270614.875000
3854.560547	270485.906250
3853.388672	271575.156250
3852.216797	270426.468750
3851.044922	271773.312500
3849.872070	270776.406250
3848.699219	270391.656250
3847.526367	270414.125000
3846.353516	269839.906250
3845.179688	270245.968750
3844.005859	268949.843750
3842.832031	269468.750000
3841.658203	268526.687500
3840.484375	268945.437500
3839.309570	268235.812500
3838.134766	268635.250000
3836.959961	268789.843750
3835.785156	269244.312500
3834.609375	268801.000000
3833.434570	267345.531250
3832.258789	267019.656250
3831.082031	267792.968750
3829.906250	267862.437500
3828.729492	266359.312500
3827.552734	266779.593750
3826.375977	266279.843750
3825.199219	266863.500000
3824.021484	266281.093750
3822.844727	266144.750000
3821.666992	265685.781250
3820.489258	264704.906250
3819.310547	264923.250000
3818.131836	265050.281250
3816.954102	265550.593750
3815.774414	264587.375000
3814.595703	264894.593750
3813.416992	264752.250000
3812.237305	264243.281250
3811.057617	264641.468750
3809.877930	264346.656250
3808.697266	264482.000000
3807.516602	263823.000000
3806.336914	263839.781250
3805.155273	263195.937500
3803.974609	263255.156250
3802.792969	262757.656250
3801.612305	262455.062500
3800.430664	262931.093750
3799.248047	262459.312500
3798.066406	262761.718750
3796.883789	261951.812500
3795.701172	261915.937500
3794.518555	262080.859375
3793.335938	261918.156250
3792.152344	261182.890625
3790.968750	261058.406250
3789.785156	260834.687500
3788.601563	261715.484375
3787.417969	261251.015625
3786.233398	260953.468750
3785.048828	261236.421875
3783.864258	261050.812500
3782.678711	260314.593750
3781.494141	260730.359375
3780.308594	260255.968750
3779.123047	258719.000000
3777.937500	259375.140625
3776.750977	259889.796875
3775.564453	260216.703125
3774.377930	260138.906250
3773.191406	258479.031250
3772.004883	259107.171875
3770.817383	258189.343750
3769.629883	259025.718750
3768.442383	259386.031250
3767.254883	258651.734375
3766.066406	258315.421875
3764.878906	258646.156250
3763.690430	257815.625000
3762.500977	258621.625000
3761.312500	257398.156250
3760.123047	258166.062500
3758.933594	257928.937500
3757.744141	257740.218750
3756.554688	257318.328125
3755.364258	256982.718750
3754.173828	256808.953125
3752.983398	257088.843750
3751.792969	256892.000000
3750.602539	257012.203125
3749.411133	256198.359375
3748.219727	256908.296875
3747.028320	256967.546875
3745.835938	256477.171875
3744.644531	256154.750000
3743.452148	256195.203125
3742.259766	256436.906250
3741.067383	256950.984375
3739.874023	257412.484375
3738.680664	256790.484375
3737.487305	255257.421875
3736.293945	255605.828125
3735.100586	255908.015625
3733.906250	256507.406250
3732.711914	255919.593750
3731.517578	255750.593750
