Created as New Dataset;
cm-1;%T
3823,50;99,55
3823,00;99,57
3822,50;99,55
3822,00;99,44
3821,50;99,49
3821,00;99,69
3820,50;99,70
3820,00;99,56
3819,50;99,47
3819,00;99,52
3818,50;99,62
3818,00;99,66
3817,50;99,65
3817,00;99,64
3816,50;99,70
3816,00;99,67
3815,50;99,56
3815,00;99,51
3814,50;99,44
3814,00;99,39
3813,50;99,46
3813,00;99,57
3812,50;99,58
3812,00;99,51
3811,50;99,48
3811,00;99,49
3810,50;99,47
3810,00;99,49
3809,50;99,57
3809,00;99,63
3808,50;99,58
3808,00;99,45
3807,50;99,41
3807,00;99,39
3806,50;99,34
3806,00;99,37
3805,50;99,42
3805,00;99,43
3804,50;99,47
3804,00;99,61
3803,50;99,73
3803,00;99,67
3802,50;99,50
3802,00;99,48
3801,50;99,57
3801,00;99,51
3800,50;99,50
3800,00;99,56
3799,50;99,59
3799,00;99,59
3798,50;99,63
3798,00;99,65
3797,50;99,57
3797,00;99,52
3796,50;99,55
3796,00;99,55
3795,50;99,49
3795,00;99,44
3794,50;99,45
3794,00;99,48
3793,50;99,52
3793,00;99,56
3792,50;99,58
3792,00;99,57
3791,50;99,56
3791,00;99,58
3790,50;99,57
3790,00;99,55
3789,50;99,57
3789,00;99,61
3788,50;99,59
3788,00;99,54
3787,50;99,53
3787,00;99,55
3786,50;99,53
3786,00;99,51
3785,50;99,53
3785,00;99,55
3784,50;99,54
3784,00;99,52
3783,50;99,51
3783,00;99,49
3782,50;99,51
3782,00;99,57
3781,50;99,60
3781,00;99,54
3780,50;99,47
3780,00;99,53
3779,50;99,61
3779,00;99,58
3778,50;99,51
3778,00;99,48
3777,50;99,45
3777,00;99,43
3776,50;99,48
3776,00;99,52
3775,50;99,50
3775,00;99,48
3774,50;99,53
3774,00;99,56
3773,50;99,53
3773,00;99,52
3772,50;99,59
3772,00;99,63
3771,50;99,54
3771,00;99,42
3770,50;99,46
3770,00;99,53
3769,50;99,49
3769,00;99,47
3768,50;99,51
3768,00;99,48
3767,50;99,41
3767,00;99,40
3766,50;99,43
3766,00;99,43
3765,50;99,44
3765,00;99,52
3764,50;99,57
3764,00;99,50
3763,50;99,46
3763,00;99,51
3762,50;99,56
3762,00;99,52
3761,50;99,48
3761,00;99,45
3760,50;99,39
3760,00;99,34
3759,50;99,38
3759,00;99,45
3758,50;99,45
3758,00;99,38
3757,50;99,36
3757,00;99,46
3756,50;99,55
3756,00;99,51
3755,50;99,44
3755,00;99,42
3754,50;99,46
3754,00;99,50
3753,50;99,44
3753,00;99,33
3752,50;99,38
3752,00;99,43
3751,50;99,37
3751,00;99,25
3750,50;99,02
3750,00;99,00
3749,50;99,25
3749,00;99,35
3748,50;99,35
3748,00;99,37
3747,50;99,43
3747,00;99,56
3746,50;99,75
3746,00;99,86
3745,50;99,61
3745,00;99,58
3744,50;99,72
3744,00;99,52
3743,50;99,41
3743,00;99,32
3742,50;99,19
3742,00;99,17
3741,50;99,27
3741,00;99,29
3740,50;99,22
3740,00;99,19
3739,50;99,23
3739,00;99,26
3738,50;99,24
3738,00;99,22
3737,50;99,23
3737,00;99,24
3736,50;99,17
3736,00;99,11
3735,50;99,25
3735,00;99,43
3734,50;99,39
3734,00;99,28
3733,50;99,17
3733,00;99,06
3732,50;99,07
3732,00;99,11
3731,50;99,10
3731,00;99,07
3730,50;99,05
3730,00;99,07
3729,50;99,14
3729,00;99,19
3728,50;99,14
3728,00;99,04
3727,50;99,00
3727,00;99,05
3726,50;99,06
3726,00;99,04
3725,50;99,10
3725,00;99,20
3724,50;99,23
3724,00;99,16
3723,50;99,04
3723,00;98,98
3722,50;99,03
3722,00;99,12
3721,50;99,20
3721,00;99,23
3720,50;99,20
3720,00;99,20
3719,50;99,28
3719,00;99,33
3718,50;99,26
3718,00;99,20
3717,50;99,20
3717,00;99,19
3716,50;99,14
3716,00;99,11
3715,50;99,13
3715,00;99,16
3714,50;99,18
3714,00;99,22
3713,50;99,19
3713,00;99,02
3712,50;98,97
3712,00;99,11
3711,50;99,19
3711,00;99,14
3710,50;99,01
3710,00;98,98
3709,50;99,06
3709,00;99,06
3708,50;99,00
3708,00;98,95
3707,50;98,92
3707,00;98,92
3706,50;98,96
3706,00;98,97
3705,50;98,93
3705,00;98,94
3704,50;99,05
3704,00;99,12
3703,50;99,09
3703,00;99,06
3702,50;99,14
3702,00;99,22
3701,50;99,15
3701,00;99,05
3700,50;99,01
3700,00;98,94
3699,50;98,86
3699,00;98,86
3698,50;98,89
3698,00;98,87
3697,50;98,79
3697,00;98,76
3696,50;98,78
3696,00;98,80
3695,50;98,82
3695,00;98,86
3694,50;98,87
3694,00;98,85
3693,50;98,85
3693,00;98,84
3692,50;98,76
3692,00;98,67
3691,50;98,76
3691,00;98,88
3690,50;98,85
3690,00;98,71
3689,50;98,56
3689,00;98,57
3688,50;98,66
3688,00;98,62
3687,50;98,59
3687,00;98,60
3686,50;98,56
3686,00;98,52
3685,50;98,53
3685,00;98,52
3684,50;98,44
3684,00;98,35
3683,50;98,32
3683,00;98,31
3682,50;98,30
3682,00;98,33
3681,50;98,36
3681,00;98,35
3680,50;98,30
3680,00;98,28
3679,50;98,29
3679,00;98,28
3678,50;98,25
3678,00;98,23
3677,50;98,24
3677,00;98,22
3676,50;98,06
3676,00;97,93
3675,50;98,09
3675,00;98,20
3674,50;98,18
3674,00;98,09
3673,50;97,98
3673,00;97,92
3672,50;97,95
3672,00;97,94
3671,50;97,86
3671,00;97,78
3670,50;97,69
3670,00;97,61
3669,50;97,60
3669,00;97,61
3668,50;97,59
3668,00;97,56
3667,50;97,51
3667,00;97,42
3666,50;97,34
3666,00;97,33
3665,50;97,37
3665,00;97,37
3664,50;97,30
3664,00;97,25
3663,50;97,25
3663,00;97,25
3662,50;97,18
3662,00;97,09
3661,50;97,03
3661,00;97,00
3660,50;96,93
3660,00;96,86
3659,50;96,83
3659,00;96,85
3658,50;96,82
3658,00;96,73
3657,50;96,60
3657,00;96,56
3656,50;96,63
3656,00;96,64
3655,50;96,55
3655,00;96,46
3654,50;96,44
3654,00;96,47
3653,50;96,52
3653,00;96,53
3652,50;96,49
3652,00;96,41
3651,50;96,32
3651,00;96,18
3650,50;96,05
3650,00;96,02
3649,50;95,96
3649,00;95,84
3648,50;95,73
3648,00;95,69
3647,50;95,73
3647,00;95,77
3646,50;95,80
3646,00;95,80
3645,50;95,75
3645,00;95,69
3644,50;95,68
3644,00;95,71
3643,50;95,65
3643,00;95,52
3642,50;95,42
3642,00;95,40
3641,50;95,40
3641,00;95,37
3640,50;95,36
3640,00;95,36
3639,50;95,36
3639,00;95,31
3638,50;95,20
3638,00;95,10
3637,50;95,03
3637,00;95,00
3636,50;94,97
3636,00;94,93
3635,50;94,93
3635,00;94,95
3634,50;94,93
3634,00;94,84
3633,50;94,77
3633,00;94,76
3632,50;94,72
3632,00;94,61
3631,50;94,53
3631,00;94,55
3630,50;94,49
3630,00;94,15
3629,50;93,86
3629,00;94,03
3628,50;94,25
3628,00;94,21
3627,50;94,06
3627,00;93,98
3626,50;94,01
3626,00;94,02
3625,50;93,94
3625,00;93,87
3624,50;93,87
3624,00;93,88
3623,50;93,85
3623,00;93,84
3622,50;93,86
3622,00;93,89
3621,50;93,85
3621,00;93,76
3620,50;93,70
3620,00;93,71
3619,50;93,68
3619,00;93,58
3618,50;93,50
3618,00;93,52
3617,50;93,56
3617,00;93,54
3616,50;93,46
3616,00;93,35
3615,50;93,28
3615,00;93,26
3614,50;93,22
3614,00;93,10
3613,50;92,93
3613,00;92,86
3612,50;92,92
3612,00;92,98
3611,50;92,97
3611,00;92,86
3610,50;92,69
3610,00;92,62
3609,50;92,65
3609,00;92,63
3608,50;92,58
3608,00;92,56
3607,50;92,59
3607,00;92,61
3606,50;92,61
3606,00;92,58
3605,50;92,51
3605,00;92,42
3604,50;92,37
3604,00;92,34
3603,50;92,30
3603,00;92,25
3602,50;92,25
3602,00;92,25
3601,50;92,21
3601,00;92,16
3600,50;92,12
3600,00;92,10
3599,50;92,02
3599,00;91,92
3598,50;91,89
3598,00;91,94
3597,50;91,97
3597,00;91,88
3596,50;91,75
3596,00;91,68
3595,50;91,69
3595,00;91,65
3594,50;91,56
3594,00;91,49
3593,50;91,50
3593,00;91,51
3592,50;91,44
3592,00;91,34
3591,50;91,30
3591,00;91,31
3590,50;91,30
3590,00;91,21
3589,50;91,11
3589,00;91,06
3588,50;91,00
3588,00;90,89
3587,50;90,79
3587,00;90,80
3586,50;90,86
3586,00;90,91
3585,50;90,92
3585,00;90,86
3584,50;90,79
3584,00;90,79
3583,50;90,83
3583,00;90,80
3582,50;90,74
3582,00;90,71
3581,50;90,70
3581,00;90,63
3580,50;90,54
3580,00;90,52
3579,50;90,53
3579,00;90,47
3578,50;90,38
3578,00;90,32
3577,50;90,31
3577,00;90,27
3576,50;90,19
3576,00;90,12
3575,50;90,08
3575,00;90,05
3574,50;89,99
3574,00;89,93
3573,50;89,89
3573,00;89,89
3572,50;89,86
3572,00;89,81
3571,50;89,77
3571,00;89,76
3570,50;89,77
3570,00;89,75
3569,50;89,70
3569,00;89,65
3568,50;89,60
3568,00;89,52
3567,50;89,39
3567,00;89,32
3566,50;89,33
3566,00;89,35
3565,50;89,36
3565,00;89,34
3564,50;89,26
3564,00;89,17
3563,50;89,14
3563,00;89,15
3562,50;89,13
3562,00;89,07
3561,50;89,02
3561,00;89,01
3560,50;88,99
3560,00;88,93
3559,50;88,89
3559,00;88,85
3558,50;88,80
3558,00;88,72
3557,50;88,67
3557,00;88,66
3556,50;88,68
3556,00;88,66
3555,50;88,59
3555,00;88,51
3554,50;88,47
3554,00;88,44
3553,50;88,37
3553,00;88,29
3552,50;88,27
3552,00;88,30
3551,50;88,29
3551,00;88,22
3550,50;88,14
3550,00;88,09
3549,50;88,06
3549,00;88,00
3548,50;87,93
3548,00;87,86
3547,50;87,80
3547,00;87,73
3546,50;87,66
3546,00;87,62
3545,50;87,59
3545,00;87,57
3544,50;87,53
3544,00;87,46
3543,50;87,40
3543,00;87,40
3542,50;87,43
3542,00;87,43
3541,50;87,41
3541,00;87,37
3540,50;87,34
3540,00;87,29
3539,50;87,24
3539,00;87,19
3538,50;87,12
3538,00;87,01
3537,50;86,90
3537,00;86,83
3536,50;86,83
3536,00;86,86
3535,50;86,87
3535,00;86,84
3534,50;86,80
3534,00;86,76
3533,50;86,73
3533,00;86,68
3532,50;86,62
3532,00;86,57
3531,50;86,55
3531,00;86,52
3530,50;86,48
3530,00;86,43
3529,50;86,38
3529,00;86,34
3528,50;86,29
3528,00;86,23
3527,50;86,17
3527,00;86,11
3526,50;86,03
3526,00;85,94
3525,50;85,83
3525,00;85,74
3524,50;85,68
3524,00;85,65
3523,50;85,65
3523,00;85,67
3522,50;85,68
3522,00;85,67
3521,50;85,65
3521,00;85,66
3520,50;85,65
3520,00;85,62
3519,50;85,56
3519,00;85,50
3518,50;85,44
3518,00;85,38
3517,50;85,32
3517,00;85,28
3516,50;85,24
3516,00;85,19
3515,50;85,14
3515,00;85,08
3514,50;85,00
3514,00;84,94
3513,50;84,91
3513,00;84,90
3512,50;84,88
3512,00;84,86
3511,50;84,82
3511,00;84,77
3510,50;84,69
3510,00;84,62
3509,50;84,57
3509,00;84,54
3508,50;84,49
3508,00;84,44
3507,50;84,41
3507,00;84,37
3506,50;84,34
3506,00;84,29
3505,50;84,23
3505,00;84,16
3504,50;84,07
3504,00;83,97
3503,50;83,87
3503,00;83,79
3502,50;83,74
3502,00;83,74
3501,50;83,76
3501,00;83,76
3500,50;83,75
3500,00;83,74
3499,50;83,71
3499,00;83,67
3498,50;83,60
3498,00;83,54
3497,50;83,50
3497,00;83,48
3496,50;83,46
3496,00;83,43
3495,50;83,37
3495,00;83,30
3494,50;83,24
3494,00;83,24
3493,50;83,27
3493,00;83,25
3492,50;83,17
3492,00;83,06
3491,50;83,01
3491,00;83,00
3490,50;82,99
3490,00;82,98
3489,50;82,93
3489,00;82,85
3488,50;82,76
3488,00;82,69
3487,50;82,66
3487,00;82,64
3486,50;82,62
3486,00;82,59
3485,50;82,59
3485,00;82,58
3484,50;82,55
3484,00;82,49
3483,50;82,44
3483,00;82,43
3482,50;82,40
3482,00;82,33
3481,50;82,21
3481,00;82,09
3480,50;82,01
3480,00;81,97
3479,50;81,95
3479,00;81,92
3478,50;81,90
3478,00;81,90
3477,50;81,89
3477,00;81,87
3476,50;81,82
3476,00;81,77
3475,50;81,72
3475,00;81,68
3474,50;81,62
3474,00;81,56
3473,50;81,52
3473,00;81,49
3472,50;81,46
3472,00;81,41
3471,50;81,34
3471,00;81,26
3470,50;81,19
3470,00;81,15
3469,50;81,13
3469,00;81,10
3468,50;81,05
3468,00;80,98
3467,50;80,93
3467,00;80,88
3466,50;80,84
3466,00;80,81
3465,50;80,80
3465,00;80,79
3464,50;80,77
3464,00;80,75
3463,50;80,73
3463,00;80,72
3462,50;80,69
3462,00;80,64
3461,50;80,58
3461,00;80,53
3460,50;80,49
3460,00;80,46
3459,50;80,43
3459,00;80,41
3458,50;80,38
3458,00;80,33
3457,50;80,27
3457,00;80,22
3456,50;80,19
3456,00;80,15
3455,50;80,11
3455,00;80,07
3454,50;80,04
3454,00;80,01
3453,50;79,97
3453,00;79,94
3452,50;79,91
3452,00;79,89
3451,50;79,86
3451,00;79,81
3450,50;79,77
3450,00;79,73
3449,50;79,72
3449,00;79,70
3448,50;79,65
3448,00;79,58
3447,50;79,50
3447,00;79,44
3446,50;79,40
3446,00;79,38
3445,50;79,38
3445,00;79,39
3444,50;79,38
3444,00;79,34
3443,50;79,27
3443,00;79,19
3442,50;79,11
3442,00;79,07
3441,50;79,07
3441,00;79,08
3440,50;79,07
3440,00;79,06
3439,50;79,03
3439,00;78,99
3438,50;78,91
3438,00;78,84
3437,50;78,79
3437,00;78,77
3436,50;78,75
3436,00;78,73
3435,50;78,72
3435,00;78,71
3434,50;78,70
3434,00;78,67
3433,50;78,65
3433,00;78,64
3432,50;78,62
3432,00;78,58
3431,50;78,53
3431,00;78,47
3430,50;78,39
3430,00;78,32
3429,50;78,28
3429,00;78,27
3428,50;78,28
3428,00;78,28
3427,50;78,26
3427,00;78,22
